resume_text,role
"Business Analyst with 0+ years of experience skilled in Excel, Power BI, Requirement Analysis.",Business Analyst
"Software Engineer with 8+ years of experience skilled in Microservices, REST APIs, Docker.",Software Engineer
"Machine Learning Engineer with 8+ years of experience skilled in Deep Learning, NLP, Python.",Machine Learning Engineer
"Product Manager with 3+ years of experience skilled in Roadmapping, Scrum, Agile.",Product Manager
"Machine Learning Engineer with 4+ years of experience skilled in Scikit-learn, NLP, Deep Learning.",Machine Learning Engineer
"Data Scientist with 2+ years of experience skilled in Pandas, TensorFlow, Python.",Data Scientist
"Data Analyst with 8+ years of experience skilled in Excel, Tableau, Data Visualization.",Data Analyst
"Data Analyst with 7+ years of experience skilled in SQL, Excel, Tableau.",Data Analyst
"Web Developer with 7+ years of experience skilled in HTML, CSS, JavaScript.",Web Developer
"Data Analyst with 1+ years of experience skilled in Excel, Tableau, Data Visualization.",Data Analyst
"Product Manager with 1+ years of experience skilled in Agile, Market Research, Scrum.",Product Manager
"Software Engineer with 10+ years of experience skilled in Java, Spring Boot, Microservices.",Software Engineer
"Product Manager with 5+ years of experience skilled in Scrum, Market Research, Roadmapping.",Product Manager
"Web Developer with 10+ years of experience skilled in HTML, JavaScript, React.",Web Developer
"DevOps Engineer with 0+ years of experience skilled in Docker, CI/CD, AWS.",DevOps Engineer
"Business Analyst with 9+ years of experience skilled in Power BI, Requirement Analysis, SQL.",Business Analyst
"Product Manager with 1+ years of experience skilled in Market Research, Agile, Scrum.",Product Manager
"Business Analyst with 4+ years of experience skilled in SQL, Power BI, Excel.",Business Analyst
"Software Engineer with 8+ years of experience skilled in Spring Boot, Java, REST APIs.",Software Engineer
"Software Engineer with 9+ years of experience skilled in Docker, Microservices, REST APIs.",Software Engineer
"Data Scientist with 4+ years of experience skilled in TensorFlow, Pandas, Machine Learning.",Data Scientist
"DevOps Engineer with 4+ years of experience skilled in AWS, CI/CD, Docker.",DevOps Engineer
"Data Analyst with 4+ years of experience skilled in Tableau, SQL, Excel.",Data Analyst
"Data Analyst with 1+ years of experience skilled in SQL, Tableau, Data Visualization.",Data Analyst
"Business Analyst with 6+ years of experience skilled in Power BI, SQL, Requirement Analysis.",Business Analyst
"Business Analyst with 7+ years of experience skilled in SQL, Power BI, Excel.",Business Analyst
"DevOps Engineer with 5+ years of experience skilled in AWS, Docker, CI/CD.",DevOps Engineer
"Software Engineer with 0+ years of experience skilled in Spring Boot, REST APIs, Microservices.",Software Engineer
"Data Scientist with 4+ years of experience skilled in Pandas, Machine Learning, Python.",Data Scientist
"Data Analyst with 1+ years of experience skilled in Tableau, Data Visualization, Excel.",Data Analyst
"Software Engineer with 4+ years of experience skilled in Java, Spring Boot, Microservices.",Software Engineer
"Data Analyst with 10+ years of experience skilled in Tableau, SQL, Data Visualization.",Data Analyst
"Software Engineer with 3+ years of experience skilled in Microservices, REST APIs, Docker.",Software Engineer
"Data Analyst with 9+ years of experience skilled in SQL, Data Visualization, Excel.",Data Analyst
